lag_min,n,dynamic_mean,dynamic_std
-30,3735,-0.001183347687721136,0.4645583610445267
-29,3736,-0.011328996364658702,0.46708025400796666
-28,3737,0.004227596375907705,0.46784649051389654
-27,3738,-0.005158056331138853,0.47256794727641116
-26,3739,0.009779422750157127,0.46844248600166977
-25,3740,-0.009230242506189047,0.47527983627307924
-24,3741,0.010871412861979136,0.4698951646184842
-23,3742,-0.019179356544162376,0.46661759292093047
-22,3743,0.017150094639577586,0.4663842223190576
-21,3744,-0.004615227536603805,0.46580959066643207
-20,3745,0.006504536812316993,0.4689139569352277
-19,3746,-0.010376975205585887,0.4750206784010219
-18,3747,0.016362822332497598,0.47366484354854316
-17,3748,-0.029380038431892914,0.4698064306324763
-16,3749,0.027763997664684376,0.4753016757334833
-15,3750,-0.004697307442633602,0.47319254628327173
-14,3751,0.0018677718576668235,0.4722859972335825
-13,3752,-0.0001432544938740773,0.4721509841560794
-12,3753,0.002669518385783177,0.4732181109077835
-11,3754,-0.008744206920552198,0.4754607241986152
-10,3755,0.00349335859990653,0.4791606185534078
-9,3756,0.004700558929531311,0.4743715596911043
-8,3757,-0.004269310228517996,0.47397220891527025
-7,3758,-0.003640640945828994,0.4749733186778257
-6,3759,-0.0012286406950903542,0.4731286130581877
-5,3760,0.007394650078923589,0.47652839897985344
-4,3761,-0.019536089861312497,0.4767222154361605
-3,3762,0.02727274792652222,0.47175568814736546
-2,3763,-0.030919714300281256,0.47023996139721297
-1,3764,0.049169200870531345,0.47016018198801485
0,3765,-0.06950066346425668,0.46578255111406086
1,3764,0.04091899512031158,0.4696528873560775
2,3763,-0.0148435168011385,0.47022084549698145
3,3762,0.0071263556791550265,0.47403057542254273
4,3761,0.0017720442154374404,0.4766755958022339
5,3760,0.0023126491412244032,0.4748806938719109
6,3759,-0.010178924420971947,0.4766418907346331
7,3758,0.007998160225628426,0.47628365166804876
8,3757,0.0022125695539634374,0.47766524578628283
9,3756,-0.006618742131069286,0.48034361825086014
10,3755,0.005205371220901616,0.4848703490036326
11,3754,-0.015224134399804332,0.4775492267575851
12,3753,0.022330956601169988,0.47568890146833565
13,3752,-0.01479305049811564,0.47529674947178463
14,3751,0.0049604842513803595,0.47763278910713247
15,3750,0.0033896226870987487,0.48091126763165065
16,3749,-0.007967273490568015,0.48191421400616635
17,3748,-0.00043762913355207894,0.4745789863192772
18,3747,0.00549742857513074,0.47788257519030486
19,3746,-0.0060120000074639765,0.48317454100811774
20,3745,-0.00021153082811919402,0.4804304115843484
21,3744,0.007725704644755496,0.4858700727397895
22,3743,-0.007065091852890325,0.48157477400825277
23,3742,-0.008329503552104222,0.4798581231908009
24,3741,0.022704038990947216,0.48000692014704255
25,3740,-0.025702318969611858,0.4821312200213311
26,3739,0.024658952852210068,0.481688570036097
27,3738,-0.01587747025469612,0.4832071789917784
28,3737,0.002780701444097529,0.4778109812995313
29,3736,0.004629521099443193,0.48012657073756104
30,3735,-0.00745998297544005,0.4774075881381549
