object_id,object_class,ra_deg,dec_deg,house,redshift,gamma,lyman,gamma_lyman_ratio
sdss:10746,quasar,173.1629690503866,41.213312704702396,Mu,2.39164662361145,0.0,0.1423170119524002,0.0
sdss:9297,unknown,0.0,0.0,Aleph,0.0,0.00633108988404274,0.13898895680904388,0.04555070042032551
sdss:13592,star,151.69045689844495,37.4848333879528,Mu,0.0004764264158438891,0.14960812032222748,0.03333397954702377,4.488021962370901
sdss:1246,quasar,12.818283181563402,14.41715715998113,Aleph,2.808920383453369,0.0,0.010376359336078167,0.0
sdss:9310,unknown,0.0,0.0,Aleph,0.0,0.0,0.032575950026512146,0.0
sdss:8922,unknown,0.0,0.0,Aleph,0.0,0.0,0.012959280982613564,0.0
sdss:1428,unknown,0.0,0.0,Aleph,0.0,0.17804230749607086,0.0027915597893297672,63.75595186049792
sdss:4914,galaxy,184.08245145500334,3.2698905268344953,C_plit,0.5291812419891357,0.02436244860291481,1.6826552382553928e-06,9081.468336109565
sdss:5387,unknown,0.0,0.0,Aleph,0.0,0.18404550850391388,0.010535875335335732,17.466801366313188
sdss:7484,galaxy,16.497283642902914,16.666522712272744,Aleph,0.6399067044258118,0.0,0.0612482912838459,0.0
sdss:7685,galaxy,156.08944180225973,42.224471221503826,Mu,0.8221626281738281,0.0,1.1287802692550031e-07,0.0
sdss:4563,unknown,0.0,0.0,Aleph,0.0,0.0,0.0006784802535548806,0.0
sdss:2077,unknown,0.0,0.0,Aleph,0.0,0.0,0.02602390944957733,0.0
sdss:12859,unknown,0.0,0.0,Aleph,0.0,0.07702929526567459,2.1817657398059964e-05,3375.8634342640225
sdss:1996,galaxy,166.65055847267377,50.719857749778754,Mu,0.5512393116950989,0.07375860959291458,7.883654689067043e-06,8302.732622384343
sdss:14840,unknown,0.0,0.0,Aleph,0.0,0.04233324155211449,0.0289019588381052,1.464668091223346
sdss:11918,unknown,0.0,0.0,Aleph,0.0,0.24633429944515228,0.13486647605895996,1.8264915059095672
sdss:12704,unknown,0.0,0.0,Aleph,0.0,0.22519035637378693,0.07425545901060104,3.032602946251964
sdss:5821,quasar,224.512279977995,62.09825381649862,Lambda,0.5097084045410156,0.12668849527835846,0.045181334018707275,2.8039387081221703
sdss:11181,unknown,0.0,0.0,Aleph,0.0,0.0,0.009550194256007671,0.0
